family,symbol,time,equityUsd
momentum,LINK,2026-06-02T00:00:00.000Z,40
momentum,LINK,2026-06-03T00:00:00.000Z,40
momentum,LINK,2026-06-04T00:00:00.000Z,40
momentum,LINK,2026-06-05T00:00:00.000Z,40
momentum,LINK,2026-06-06T00:00:00.000Z,40
momentum,LINK,2026-06-07T00:00:00.000Z,40
momentum,LINK,2026-06-08T00:00:00.000Z,40
momentum,LINK,2026-06-09T00:00:00.000Z,39.6865
momentum,LINK,2026-06-10T00:00:00.000Z,39.1155
momentum,LINK,2026-06-11T00:00:00.000Z,39.7807
momentum,LINK,2026-06-12T00:00:00.000Z,39.7253
momentum,LINK,2026-06-13T00:00:00.000Z,39.9789
momentum,LINK,2026-06-14T00:00:00.000Z,40.3723
momentum,LINK,2026-06-15T00:00:00.000Z,40.641
momentum,LINK,2026-06-16T00:00:00.000Z,40.5771
momentum,LINK,2026-06-17T00:00:00.000Z,40.1869
momentum,LINK,2026-06-18T00:00:00.000Z,39.838
rs_continuation,AVAX,2026-05-20T00:00:00.000Z,40
rs_continuation,AVAX,2026-05-21T00:00:00.000Z,40
rs_continuation,AVAX,2026-05-22T00:00:00.000Z,40
rs_continuation,AVAX,2026-05-23T00:00:00.000Z,40
rs_continuation,AVAX,2026-05-24T00:00:00.000Z,40
rs_continuation,AVAX,2026-05-25T00:00:00.000Z,40
rs_continuation,AVAX,2026-05-26T00:00:00.000Z,40
rs_continuation,AVAX,2026-05-27T00:00:00.000Z,40
rs_continuation,AVAX,2026-05-28T00:00:00.000Z,40
rs_continuation,AVAX,2026-05-29T00:00:00.000Z,40
rs_continuation,AVAX,2026-05-30T00:00:00.000Z,40
rs_continuation,AVAX,2026-05-31T00:00:00.000Z,40
rs_continuation,AVAX,2026-06-01T00:00:00.000Z,40
rs_continuation,AVAX,2026-06-02T00:00:00.000Z,40
rs_continuation,AVAX,2026-06-03T00:00:00.000Z,40
rs_continuation,AVAX,2026-06-04T00:00:00.000Z,40
rs_continuation,AVAX,2026-06-05T00:00:00.000Z,40
rs_continuation,AVAX,2026-06-06T00:00:00.000Z,40
rs_continuation,AVAX,2026-06-07T00:00:00.000Z,40
rs_continuation,AVAX,2026-06-08T00:00:00.000Z,40
rs_continuation,AVAX,2026-06-09T00:00:00.000Z,40
rs_continuation,AVAX,2026-06-10T00:00:00.000Z,40
rs_continuation,AVAX,2026-06-11T00:00:00.000Z,40
rs_continuation,AVAX,2026-06-12T00:00:00.000Z,40
rs_continuation,AVAX,2026-06-13T00:00:00.000Z,40
rs_continuation,AVAX,2026-06-14T00:00:00.000Z,40
rs_continuation,AVAX,2026-06-15T00:00:00.000Z,40
rs_continuation,AVAX,2026-06-16T00:00:00.000Z,40
rs_continuation,AVAX,2026-06-17T00:00:00.000Z,40
rs_continuation,AVAX,2026-06-18T00:00:00.000Z,40
momentum,AVAX,2026-05-20T00:00:00.000Z,40
momentum,AVAX,2026-05-21T00:00:00.000Z,40
momentum,AVAX,2026-05-22T00:00:00.000Z,40
momentum,AVAX,2026-05-23T00:00:00.000Z,40
momentum,AVAX,2026-05-24T00:00:00.000Z,40
momentum,AVAX,2026-05-25T00:00:00.000Z,40
momentum,AVAX,2026-05-26T00:00:00.000Z,40
